Category,Total Count,Top Hashtags
entertainment,27,"#trending, #viral, #funny"
education,0,
gaming,0,
music,0,
sports,0,
technology,0,
fashion,0,
news,0,
comedy,3,#comedy
travel,0,
food,0,
shorts,7,#shorts
other,5,#dance
